Read_Name,Read_Sequence,Sample_ID,Pool_ID,Site,City,Date,Mapping_Type,Non-Circulating_Best_Strain,Non-Circulating_Percent_Identity,Circulating_Best_Strain,Circulating_Percent_Identity,C/N_Ratio
SYN_10_9440_9589_413_-_17440_1_._HXB2$Hum_0507 ,,,,,,,both,HXB2,100,OM208834,98.66666667,0.986666667
SYN_411_8669_8818_331_-_16669_1_.__0407 ,,,,,,,both,NY5,93.75,MK114636,100,1.066666667
SYN_311_4627_4776_389_+_12627_1_.__0309 ,,,,,,,both,Bru,93.33333333,MK114636,100,1.071428571
SYN_404_2730_2879_321_+_10730_1_.__0900 ,,,,,,,both,Bru,96,MK114636,100,1.041666667
SYN_349_5858_6007_391_-_13858_1_.__0347 ,,,,,,,both,YU-2,98,ON816670,100,1.020408163
SYN_296_6775_6924_310_-_14775_1_.__0295 ,,,,,,,both,Bru,84.66666667,ON816670,100,1.181102362
SYN_324_260_409_350_+_8260_1_._Vector_pLVX.T_0823 ,,,,,,,both,Bru,99.33333333,OQ948538,97.33333333,0.979865772
SYN_296_1532_1681_310_-_9532_1_._Vector_pLVX.TRE_0295 ,,,,,,,both,Bru,100,MW754632,98.66666667,0.986666667
SYN_345_4139_4288_341_+_12139_1_.__0342 ,,,,,,,both,Bru,97.33333333,MK114636,100,1.02739726
SYN_138_2780_2929_361_+_10780_1_.__0634 ,,,,,,,both,HXB2,95.33333333,ON816670,100,1.048951049
SYN_336_3021_3170_288_+_11021_1_._HXB2$Huma_0833 ,,,,,,,both,Bru,100,ON015228,99.33333333,0.993333333
SYN_472_3183_3332_304_-_11183_1_.__0470 ,,,,,,,both,Bru,94.66666667,OM203601,100,1.056338028
SYN_7_1038_1187_442_-_9038_1_._Vector_pLVX_0008 ,,,,,,,both,Bru,98.64864865,OQ092466,97.2972973,0.98630137
SYN_188_3875_4024_420_+_11875_1_.__0186 ,,,,,,,both,Bru,97.33333333,MK114636,100,1.02739726
SYN_138_3826_3975_361_-_11826_1_.__0137 ,,,,,,,both,Bru,95.33333333,OM203601,100,1.048951049
SYN_331_8406_8555_421_+_16406_1_.__0328 ,,,,,,,both,NY5,88.66666667,MK114636,100,1.127819549
SYN_111_5732_5881_349_-_13732_1_.__0111 ,,,,,,,both,Bru,100,OM203601,100,1
SYN_341_6164_6313_467_+_14164_1_.__0339 ,,,,,,,both,YU-2,93.39622642,ON816670,100,1.070707071
SYN_217_611_760_418_-_8611_1_0216 ,,,,,,,both,Bru,92.66666667,OM203601,100,1.079136691
SYN_231_8075_8224_333_+_16075_1_.__0229 ,,,,,,,both,Bru,90,MK114636,100,1.111111111
SYN_129_4081_4230_281_-_12081_1_.__0128 ,,,,,,,both,HXB2,95.34883721,MK114636,100,1.048780488
SYN_90_8904_9053_388_-_16904_1_._0090 ,,,,,,,both,NY5,89.33333333,MK114636,100,1.119402985
SYN_127_1280_1429_410_+_9280_1_._0623 ,,,,,,,both,YU-2,94,MK114636,100,1.063829787
SYN_483_6425_6574_372_+_14425_1_._HXB2$Huma_0480 ,,,,,,,both,HXB2,100,OR496826,87.75510204,0.87755102
SYN_51_5178_5327_339_+_13178_1_._0549 ,,,,,,,both,Bru,93.33333333,OM203601,100,1.071428571
SYN_127_1280_1429_410_+_9280_1_._0126 ,,,,,,,both,Bru,92.66666667,MK114636,100,1.079136691
SYN_36_3020_3169_416_+_11020_1_._0534 ,,,,,,,both,Bru,94.66666667,OM203601,99.33333333,1.049295775
SYN_13_6925_7074_395_-_14925_1_._0014 ,,,,,,,both,NY5,86,MK114636,100,1.162790698
SYN_311_7833_7982_389_+_15833_1_.__0807 ,,,,,,,both,Bru,96,ON816670,100,1.041666667
SYN_407_2988_3137_405_-_10988_1_._HXB2$Huma_0904 ,,,,,,,both,Bru,100,MZ662740,100,1
SYN_117_4048_4197_304_-_12048_1_.__0613 ,,,,,,,both,Bru,98.66666667,ON816670,100,1.013513514
SYN_189_6206_6355_393_+_14206_1_.__0685 ,,,,,,,both,HXB2,94,ON816670,100,1.063829787
SYN_130_8539_8688_353_+_16539_1_.__0130 ,,,,,,,both,YU-2,95.30201342,ON816670,100,1.049295775
SYN_414_5737_5886_378_+_13737_1_.__0910 ,,,,,,,both,Bru,93.33333333,MK114636,100,1.071428571
SYN_154_2161_2310_392_-_10161_1_._0650 ,,,,,,,both,NY5,96.66666667,ON816670,99.33333333,1.027586207
SYN_34_6841_6990_327_+_14841_1_._HXB2$Hum_0035 ,,,,,,,both,HXB2,100,MH897920,88.88888889,0.888888889
SYN_52_7129_7278_415_+_15129_1_._0052 ,,,,,,,both,NY5,82.66666667,ON816670,100,1.209677419
SYN_390_4279_4428_375_+_12279_1_.__0888 ,,,,,,,both,Bru,98.66666667,OM203601,100,1.013513514
SYN_300_6111_6260_379_+_14111_1_.__0298 ,,,,,,,both,YU-2,93.33333333,OM203601,100,1.071428571
SYN_26_5577_5726_378_-_13577_1_._0026 ,,,,,,,both,YU-2,86,OM203601,100,1.162790698
SYN_310_7687_7836_356_-_15687_1_.__0308 ,,,,,,,both,Bru,96,OM203601,100,1.041666667
SYN_102_6471_6620_412_+_14471_1_.__0102 ,,,,,,,both,HXB2,83.33333333,ON816670,99.33333333,1.192
SYN_99_4420_4569_387_+_12420_1_._HXB2$Hum_0098 ,,,,,,,both,HXB2,100,KY658693,100,1
SYN_38_1688_1837_361_-_9688_1__0038 ,,,,,,,both,Bru,91.33333333,OM203601,100,1.094890511
SYN_347_7491_7640_377_+_15491_1_.__0845 ,,,,,,,both,Bru,96,OM203601,100,1.041666667
SYN_265_412_561_388_-_8412_1_0263 ,,,,,,,both,Bru,96.66666667,MK114636,100,1.034482759
SYN_101_227_376_370_-_8227_0101 ,,,,,,,both,Bru,76,ON816670,100,1.315789474
SYN_397_4967_5116_430_-_12967_1_.__0893 ,,,,,,,both,Bru,96.2962963,ON816670,100,1.038461538
SYN_207_4254_4403_426_+_12254_1_.__0705 ,,,,,,,both,Bru,98.66666667,OM203601,100,1.013513514
SYN_412_894_1043_434_+_8894_1_._0409 ,,,,,,,both,NL4-3,94,ON816670,98.66666667,1.04964539
SYN_175_4200_4349_405_-_12200_1_.__0175 ,,,,,,,both,YU-2,98,ON816670,100,1.020408163
SYN_486_7898_8047_379_+_15898_1_._HXB2$Huma_0483 ,,,,,,,both,HXB2,100,MZ922517,96,0.96
SYN_372_8105_8254_370_-_16105_1_.__0370 ,,,,,,,both,Bru,92.66666667,OM203601,100,1.079136691
SYN_358_534_683_287_-_8534_1_0356 ,,,,,,,both,NL4-3,96.66666667,ON816670,100,1.034482759
SYN_244_8283_8432_412_-_16283_1_.__0244 ,,,,,,,both,YU-2,90.66666667,ON816670,100,1.102941176
SYN_191_7769_7918_365_+_15769_1_._HXB2$Huma_0190 ,,,,,,,both,HXB2,100,PQ511571,95.33333333,0.953333333
SYN_459_8221_8370_351_+_16221_1_._HXB2$Huma_0956 ,,,,,,,both,HXB2,100,MG171202,97.33333333,0.973333333
SYN_475_157_306_342_+_8157_1_0471 ,,,,,,,both,NL4-3,95.33333333,MK114636,100,1.048951049
SYN_226_2209_2358_372_+_10209_1_.__0722 ,,,,,,,both,Bru,96,ON816670,100,1.041666667
SYN_12_1470_1619_310_-_9470_1__0013 ,,,,,,,both,NL4-3,95.33333333,ON816670,100,1.048951049
SYN_58_3479_3628_377_-_11479_1_._HXB2$Hum_0555 ,,,,,,,both,HXB2,100,OR496826,99.33333333,0.993333333
SYN_307_620_769_403_-_8620_1_0803 ,,,,,,,both,Bru,97.33333333,MK114636,100,1.02739726
SYN_493_4688_4837_415_+_12688_1_.__0989 ,,,,,,,both,NL4-3,93.33333333,MK114636,100,1.071428571
SYN_319_9255_9404_401_+_17255_1_._HXB2$Huma_0317 ,,,,,,,both,HXB2,100,OP700950,100,1
SYN_492_7032_7181_352_+_15032_1_.__0988 ,,,,,,,both,HXB2,93.87755102,MK114636,100,1.065217391
SYN_23_1393_1542_290_+_9393_1__0024 ,,,,,,,both,Bru,90.66666667,OM203601,100,1.102941176
SYN_497_1259_1408_409_-_9259_1_._Vector_pLVX.TRE_0996 ,,,,,,,both,HXB2,99.33333333,MT744335,98.66666667,0.993288591
SYN_17_8392_8541_431_+_16392_1_._0515 ,,,,,,,both,NL4-3,94.66666667,OM203601,100,1.056338028
SYN_64_5663_5812_422_+_13663_1_._0560 ,,,,,,,both,YU-2,93.33333333,MK114636,100,1.071428571
SYN_405_6573_6722_367_-_14573_1_._HXB2$Huma_0902 ,,,,,,,both,HXB2,100,OR496826,87.75510204,0.87755102
SYN_284_6835_6984_335_+_14835_1_.__0780 ,,,,,,,both,HXB2,86.80555556,ON816670,100,1.152
SYN_275_5011_5160_365_+_13011_1_.__0273 ,,,,,,,both,Bru,91.33333333,OM203601,100,1.094890511
SYN_445_6204_6353_375_+_14204_1_._HXB2$Huma_0942 ,,,,,,,both,HXB2,100,OQ092467,84.66666667,0.846666667
SYN_440_7830_7979_406_+_15830_1_.__0436 ,,,,,,,both,Bru,88,MK114636,100,1.136363636
SYN_133_7199_7348_402_+_15199_1_.__0132 ,,,,,,,both,NY5,90,MK114636,100,1.111111111
SYN_451_8634_8783_334_+_16634_1_.__0447 ,,,,,,,both,NY5,68.5483871,MK114636,100,1.458823529
SYN_69_2285_2434_390_-_10285_1_._0069 ,,,,,,,both,Bru,97.33333333,OM203601,100,1.02739726
SYN_253_6206_6355_408_+_14206_1_.__0751 ,,,,,,,both,NY5,92,OM203601,100,1.086956522
SYN_120_1729_1878_415_-_9729_1_._0120 ,,,,,,,both,NL4-3,93.33333333,OM203601,100,1.071428571
SYN_435_3313_3462_414_-_11313_1_.__0431 ,,,,,,,both,HXB2,94.66666667,ON816670,100,1.056338028
SYN_497_8203_8352_409_-_16203_1_.__0993 ,,,,,,,both,Bru,90.66666667,MK114636,100,1.102941176
SYN_212_5768_5917_444_+_13768_1_.__0708 ,,,,,,,both,YU-2,91.33333333,ON816670,100,1.094890511
SYN_280_2588_2737_354_-_10588_1_.__0278 ,,,,,,,both,Bru,94,OM203601,100,1.063829787
SYN_128_4186_4335_307_-_12186_1_.__0626 ,,,,,,,both,Bru,98.66666667,OM203601,100,1.013513514
SYN_94_6751_6900_368_-_14751_1_._0590 ,,,,,,,both,HXB2,90.66666667,ON816670,100,1.102941176
SYN_410_3760_3909_421_-_11760_1_._HXB2$Huma_0907 ,,,,,,,both,HXB2,100,KX505739,99.33333333,0.993333333
SYN_424_2853_3002_368_+_10853_1_.__0422 ,,,,,,,both,Bru,92,OM203601,100,1.086956522
SYN_308_3156_3305_386_-_11156_1_.__0804 ,,,,,,,both,YU-2,95.33333333,ON816670,100,1.048951049
SYN_315_4204_4353_448_-_12204_1_.__0811 ,,,,,,,both,Bru,98,MK114636,100,1.020408163
SYN_391_1388_1537_384_-_9388_1_._Vector_pLVX.TRE_0890 ,,,,,,,both,Bru,100,MG171202,98.66666667,0.986666667
SYN_78_5368_5517_374_-_13368_1_._0576 ,,,,,,,both,YU-2,86.66666667,OM203601,100,1.153846154
SYN_419_1781_1930_286_+_9781_1_._HXB2$Hum_0916 ,,,,,,,both,HXB2,100,OM203923,97.33333333,0.973333333
SYN_149_1214_1363_453_+_9214_1_._Vector_pLVX.TRE_0150 ,,,,,,,both,HXB2,100,PQ511571,95.33333333,0.953333333
SYN_464_1323_1472_391_-_9323_1_._0462 ,,,,,,,both,Bru,93.33333333,OM203601,100,1.071428571
SYN_193_8850_8999_369_-_16850_1_.__0689 ,,,,,,,both,HXB2,67.4796748,MK114636,100,1.481927711
SYN_196_5909_6058_384_-_13909_1_.__0694 ,,,,,,,both,YU-2,70.74829932,OM203601,100,1.413461538
SYN_499_4734_4883_367_-_12734_1_._HXB2$Huma_0496 ,,,,,,,both,HXB2,100,OM208257,94.66666667,0.946666667
SYN_389_7323_7472_422_-_15323_1_.__0885 ,,,,,,,both,Bru,90.66666667,MK114636,100,1.102941176
SYN_292_6515_6664_282_+_14515_1_.__0291 ,,,,,,,both,Bru,78.26086957,ON816670,99.33333333,1.269259259
SYN_92_2959_3108_405_-_10959_1_._0590 ,,,,,,,both,Bru,94.66666667,OM203601,100,1.056338028
SYN_395_3713_3862_406_-_11713_1_.__0893 ,,,,,,,both,Bru,97.33333333,OM203601,100,1.02739726
SYN_374_1038_1187_425_-_9038_1_0371 ,,,,,,,both,NL4-3,98.66666667,MK114636,100,1.013513514
SYN_330_5285_5434_361_+_13285_1_._Vector_pLVX.TRE3_0329 ,,,,,,,both,Bru,99.33333333,OM206160,96.66666667,0.973154362
SYN_498_2546_2695_391_-_10546_1_.__0996 ,,,,,,,both,YU-2,97.33333333,OM203601,100,1.02739726
SYN_297_8035_8184_393_+_16035_1_.__0795 ,,,,,,,both,Bru,79.59183673,OM203601,100,1.256410256
SYN_147_8122_8271_384_-_16122_1_.__0146 ,,,,,,,both,Bru,92.66666667,OM203601,100,1.079136691
SYN_172_2608_2757_392_-_10608_1_.__0670 ,,,,,,,both,Bru,94.66666667,OM203601,100,1.056338028
SYN_290_4326_4475_378_-_12326_1_.__0289 ,,,,,,,both,Bru,98.66666667,ON816670,100,1.013513514
SYN_138_8078_8227_361_-_16078_1_.__0634 ,,,,,,,both,Bru,88,MK114636,100,1.136363636
SYN_227_4202_4351_394_+_12202_1_.__0723 ,,,,,,,both,Bru,98.66666667,ON816258,100,1.013513514
SYN_187_2823_2972_309_+_10823_1_.__0186 ,,,,,,,both,Bru,95.33333333,OM203601,100,1.048951049
SYN_86_8263_8412_358_-_16263_1_._0582 ,,,,,,,both,Bru,92.66666667,ON816670,100,1.079136691
SYN_371_1621_1770_367_+_9621_1_._0867 ,,,,,,,both,Bru,96.66666667,MK114636,100,1.034482759
SYN_136_2600_2749_430_-_10600_1_.__0632 ,,,,,,,both,YU-2,98.66666667,MK114636,100,1.013513514
SYN_455_6073_6222_332_+_14073_1_._HXB2$Huma_0952 ,,,,,,,both,HXB2,100,KU678025,94.66666667,0.946666667
SYN_318_2172_2321_362_-_10172_1_._0814 ,,,,,,,both,Bru,94,MK114636,100,1.063829787
SYN_93_7173_7322_448_-_15173_1_._HXB2$Hum_0590 ,,,,,,,both,HXB2,100,OR736930,87.33333333,0.873333333
SYN_36_6099_6248_416_-_14099_1_._HXB2$Hum_0533 ,,,,,,,both,Bru,100,OQ752739,92.61744966,0.926174497
SYN_168_5013_5162_344_+_13013_1_.__0666 ,,,,,,,both,YU-2,92.66666667,OM203601,100,1.079136691
SYN_113_5825_5974_403_-_13825_1_._HXB2$Huma_0610 ,,,,,,,both,HXB2,100,MT744335,98,0.98
SYN_122_2829_2978_385_-_10829_1_.__0121 ,,,,,,,both,YU-2,98.66666667,MK114636,100,1.013513514
SYN_324_6066_6215_350_-_14066_1_.__0322 ,,,,,,,both,YU-2,72.10884354,OM203601,100,1.386792453
SYN_351_2427_2576_434_+_10427_1_.__0847 ,,,,,,,both,NL4-3,96.66666667,ON816670,100,1.034482759
SYN_463_2229_2378_341_+_10229_1_.__0461 ,,,,,,,both,Bru,94,OM203601,100,1.063829787
SYN_19_5453_5602_351_+_13453_1_._0515 ,,,,,,,both,YU-2,90,MK114636,100,1.111111111
SYN_45_3904_4053_346_-_11904_1_._0045 ,,,,,,,both,Bru,96.66666667,MK114636,100,1.034482759
SYN_53_8403_8552_382_-_16403_1_._0053 ,,,,,,,both,Bru,85.71428571,OM203601,100,1.166666667
SYN_271_7818_7967_339_+_15818_1_.__0269 ,,,,,,,both,Bru,88.66666667,MK114636,99.33333333,1.120300752
SYN_243_910_1059_383_-_8910_1_0241 ,,,,,,,both,Bru,97.33333333,MK114636,100,1.02739726
SYN_116_2551_2700_401_+_10551_1_.__0115 ,,,,,,,both,Bru,97.33333333,MK114636,100,1.02739726
SYN_138_3826_3975_361_-_11826_1_.__0636 ,,,,,,,both,Bru,92.66666667,OM203601,100,1.079136691
SYN_116_4310_4459_401_+_12310_1_.__0614 ,,,,,,,both,Bru,96.66666667,OM203601,99.33333333,1.027586207
SYN_307_6503_6652_403_-_14503_1_._HXB2$Huma_0305 ,,,,,,,both,HXB2,100,OQ092467,90.66666667,0.906666667
SYN_89_7077_7226_340_+_15077_1_._0089 ,,,,,,,both,YU-2,92,ON816670,100,1.086956522
SYN_213_3231_3380_386_-_11231_1_.__0709 ,,,,,,,both,YU-2,98.66666667,ON816670,100,1.013513514
SYN_454_809_958_370_-_8809_1_._Vector_pLVX.T_0453 ,,,,,,,both,Bru,99.33333333,OR496826,99.33333333,1
SYN_209_8552_8701_351_-_16552_1_.__0707 ,,,,,,,both,Bru,89.33333333,OM203601,100,1.119402985
SYN_147_456_605_384_-_8456_1_0146 ,,,,,,,both,Bru,96,MK114636,100,1.041666667
SYN_203_2890_3039_377_+_10890_1_.__0203 ,,,,,,,both,YU-2,92.66666667,ON816670,100,1.079136691
SYN_460_1833_1982_421_-_9833_1_._HXB2$Hum_0957 ,,,,,,,both,HXB2,100,KU678125,95.33333333,0.953333333
SYN_295_3628_3777_343_+_11628_1_.__0791 ,,,,,,,both,Bru,94.66666667,MK114636,100,1.056338028
SYN_5_542_691_400_+_8542_0501 ,,,,,,,both,NL4-3,96.66666667,ON816670,99.33333333,1.027586207
SYN_76_2628_2777_374_-_10628_1_._0076 ,,,,,,,both,Bru,92,MK114636,100,1.086956522
SYN_77_3705_3854_345_+_11705_1_._0573 ,,,,,,,both,Bru,96.66666667,ON816670,100,1.034482759
SYN_483_6259_6408_372_+_14259_1_.__0979 ,,,,,,,both,HXB2,92.66666667,ON816670,100,1.079136691
SYN_123_8343_8492_363_-_16343_1_.__0619 ,,,,,,,both,HXB2,94,MK114636,100,1.063829787
SYN_173_8210_8359_300_+_16210_1_.__0669 ,,,,,,,both,Bru,91.33333333,MK114636,100,1.094890511
SYN_361_3115_3264_382_-_11115_1_._HXB2$Huma_0358 ,,,,,,,both,Bru,99.33333333,MW262767,98.66666667,0.993288591
SYN_128_4186_4335_307_-_12186_1_.__0127 ,,,,,,,both,HXB2,98.66666667,OM203601,100,1.013513514
SYN_59_2023_2172_279_+_10023_1_._0555 ,,,,,,,both,Bru,98,ON816670,100,1.020408163
SYN_122_1280_1429_385_-_9280_1_._HXB2$Hum_0619 ,,,,,,,both,Bru,100,ON816529,100,1
SYN_62_5203_5352_349_-_13203_1_._0560 ,,,,,,,both,Bru,92,OM203601,100,1.086956522
SYN_351_8348_8497_434_+_16348_1_._HXB2$Huma_0848 ,,,,,,,both,HXB2,100,MK115482,95.33333333,0.953333333
SYN_105_5611_5760_344_-_13611_1_._HXB2$Huma_0602 ,,,,,,,both,Bru,100,OR496826,98,0.98
SYN_87_1704_1853_408_+_9704_1__0087 ,,,,,,,both,Bru,98,ON816670,100,1.020408163
SYN_404_351_500_321_-_8351_1_._Vector_pLVX.T_0903 ,,,,,,,both,HXB2,100,OM208834,98.66666667,0.986666667
SYN_219_2865_3014_423_-_10865_1_._HXB2$Huma_0218 ,,,,,,,both,HXB2,100,MK114636,99.33333333,0.993333333
SYN_351_2427_2576_434_+_10427_1_.__0349 ,,,,,,,both,Bru,96,ON816670,100,1.041666667
SYN_215_4028_4177_381_-_12028_1_.__0214 ,,,,,,,both,Bru,92.66666667,OM203601,100,1.079136691
SYN_278_7975_8124_379_-_15975_1_.__0276 ,,,,,,,both,Bru,89.33333333,MK114636,100,1.119402985
SYN_423_5903_6052_295_-_13903_1_.__0919 ,,,,,,,both,YU-2,76.66666667,MK114636,100,1.304347826
SYN_104_23_172_399_+_8023_1_._Vector_pLVX.T_0105 ,,,,,,,both,HXB2,99.33333333,OQ948538,96.66666667,0.973154362
SYN_19_6863_7012_351_-_14863_1_._0020 ,,,,,,,both,Bru,76.8115942,ON816670,100,1.301886792
